,brand,url,label
294,by monkey,https://bymonkey.com/,SUS
295,by pia´s,https://bypias.com,NOT
296,by signe,https://bysigne.com,SUS
297,bydanie,http://bydanie.nl,NOT
298,byoni,https://byoni.nl,SUS
299,c&a,https://c-and-a.com,SUS
300,c.p. company,https://cpcompany.com,NOT
301,cabin zero,https://cabinzero.com,SUS
302,cakewalk,https://cakewalkstore.com,NOT
303,calida,https://calida.com,SUS
304,call it spring,https://callitspring.com,NOT
305,callaway,https://callawayapparel.com,NOT
306,calzedonia,https://calzedonia.com,NOT
307,camano,https://camano.de,SUS
308,camel active,https://camelactive.de,NOT
309,camp david,https://campdavid.com,NOT
310,camper,https://camper.com,NOT
311,campomaggi,https://campomaggi.com,NOT
312,campus,https://campusclothing.com,SUS
313,canadian classics,https://canadianclassics.it,NOT
314,candice cooper,https://candicecooper.com,SUS
315,cano,https://thecanoshoe.com,SUS
316,canterbury,https://canterbury.com,NOT
317,canussa,https://canussa.com,SUS
318,caprice,https://boutiquecaprice.com,SUS
319,care label,https://carelabels.co.uk,SUS
320,carhartt,https://carhartt.com,NOT
321,carhartt wip,https://carhartt-wip.com,NOT
322,carla zampatti,https://carlazampatti.com.au,NOT
323,carlijnq,https://carlijnq.nl,SUS
324,carlo colucci,https://carlocolucci.com,SUS
325,carmina campus,https://carminacampus.com,NOT
326,carolina cavour,https://carolinacavour.com,SUS
327,caroline biss,https://carolinebiss.com,NOT
328,carpasus,https://carpasus.com,SUS
329,carrera,https://carrerajeans.com,NOT
330,carryeco,https://www.carryeco.in,SUS
331,cars jeans,https://carsjeans.nl,NOT
332,carter's,https://carters.com,NOT
333,casa moda,https://casamoda.com,NOT
334,casa yustas,https://casayustas.com,SUS
335,casall,https://casall.com,SUS
336,casio,https://casio.com,SUS
337,castelli,https://www.castelli-cycling.com,NOT
338,cat footwear,https://catfootwear.nl,NOT
339,catimini,https://catimini.com,NOT
340,catwalk junkie,https://catwalkjunkie.com,NOT
341,cayboo,https://cayboo.nl,SUS
342,ceceba,http://ceceba.com,NOT
343,cecilie copenhagen,https://ceciliecopenhagen.com,SUS
344,celio,https://celio.com,NOT
345,cep,https://cepcompression.com,NOT
346,cetti,http://cetti.es,SUS
347,chaco,https://chacos.com,NOT
348,champion,https://championstore.com,NOT
349,chanel,https://chanel.com,NOT
350,chapati,https://chapati.de,SUS
351,charles vögele,http://charles-voegele.nl/,NOT
352,charlie + mary,https://charliemary.com,SUS
353,charlotte russe,https://charlotterusse.com,NOT
354,chasin',https://chasin.com,NOT
355,cheaney,https://cheaney.co.uk,NOT
356,chi chi london,https://chichiclothing.com,NOT
357,chickenorpasta,https://chickenorpasta.nl,SUS
358,chie mihara,https://chiemihara.com,NOT
359,chiemsee,https://chiemsee.com,SUS
360,chillouts,https://chillouts.de,SUS
361,chinese laundry,https://chineselaundry.com,NOT
362,chloé,https://chloe.com,NOT
363,chpo,https://chpobrand.com,SUS
364,christophe robin,https://christopherobin.co.uk,NOT
365,chureca chic,https://churecachic.com,SUS
366,cinque,https://cinque.de,NOT
367,circle of trust,https://circleoftrust.nl,NOT
368,circlestances,https://circlestances.de,SUS
369,citizen,https://moderncitizen.com,NOT
370,citizens of humanity,https://citizensofhumanity.com,NOT
371,cks,https://cks-fashion.com,NOT
372,clae,https://clae.com,NOT
373,claesen's,https://claesens.com,SUS
374,claire,https://clairewoman.com,NOT
375,clarks,https://www.clarks.co.uk,NOT
376,cleptomanicx,https://cleptomanicx.com,NOT
377,clinique,https://clinique.com,NOT
378,closed,https://closed.com,SUS
379,closet london,https://closetlondon.com,NOT
380,club monaco,https://www.clubmonaco.com,NOT
381,cmp,https://cmpsport.com,NOT
382,coach,https://coach.com,NOT
383,coast,https://www.coastfashion.com,NOT
384,cobian,https://cobianusa.com,NOT
385,coccara,https://coccara.de,NOT
386,coccinelle,https://coccinelle.com,NOT
387,codello,https://codello.de,SUS
388,cole haan,https://colehaan.com,NOT
389,coline,https://www.coline.com,NOT
390,collégien,https://en.collegien-shop.com/,SUS
391,colmar,https://colmar.it,NOT
392,colorful standard,https://colorfulstandard.com,SUS
393,columbia,https://columbiasportswear.nl,NOT
394,comazo,https://comazo.de,SUS
395,combatant gentlema,https://combatgent.com/,NOT
396,comma,https://comma-store.eu,NOT
397,common texture,https://commontexture.com/,SUS
398,comptoir des coton,https://comptoirdescotonniers.eu,NOT
399,converse,https://converse.com,NOT
400,coolcat,https://coolcat.nl,NOT
401,cop copine,https://cop-copine.com,NOT
402,coq en pate,https://coqenpate.com,SUS
403,cora kemperman,https://corakemperman.shop,SUS
404,cordwainer,http://cordwainers.org,NOT
405,corneliani,https://www.corneliani.com,NOT
406,cortica,https://cortica.co.uk,NOT
407,cos,https://cosstores.com,SUS
408,cosense,https://cosense.nl,SUS
409,cosrx,https://cosrx.com,NOT
410,cossac,https://cossac.co.uk,SUS
411,costes,https://costesfashion.com,NOT
412,cotonea,http://cotonea.com,SUS
413,cotton on,https://cottonon.com,NOT
414,country line,http://countryline.ca,SUS
415,cowboysbag,https://cowboysbag.com,SUS
416,craft,https://craftsportswear.com,SUS
417,cream,https://cream-clothing.com,NOT
418,creamie,https://creamie.eu,SUS
419,created by earth,https://createdbyearth.nl/index.php?route=common/home,SUS
420,creative recreation,https://creativerecreation.co.uk,NOT
421,cri de coeur,https://cridecoeur.myshopify.com/,SUS
422,criminal damage,https://criminaldamage.co.uk,SUS
423,crocs,https://crocs.com,NOT
424,cross sportswear,https://cross-sportswear.com,SUS
425,crumpler,https://crumpler.com,NOT
426,cruyff classics,https://cruyffclassics.com,NOT
427,cubus,https://cubus.com,NOT
428,cuc de poma,https://cucdepoma.com,SUS
429,culture,https://shopcultureclothing.com,NOT
430,curlsmith,https://uk.curlsmith.com,NOT
431,curms,https://curms.com,SUS
432,cus,https://cus.cat,SUS
433,custommade,https://custommade.dk,NOT
434,dachstein,https://dachsteinschuhe.com,NOT
435,dadamora,https://dadamora.com,SUS
436,dailybread,https://dailybreadpa.com,SUS
437,dakine,https://dakine.com,NOT
438,damir doma,https://damirdoma.com,SUS
439,danefae,https://danefae.dk,SUS
440,daniel hechter,https://daniel-hechter.de,NOT
441,daniel kroh,http://danielkroh.com,SUS
442,dante6,https://dante6.com,NOT
443,daquïni,https://daquini.com/,SUS
444,dare 2b,https://dare2b.com,NOT
445,dare to wear,https://daretowearclothing.co.uk,SUS
446,dc shoes,https://dcshoes.com,NOT
447,de marchi,https://demarchi.com,NOT
448,dedicated,https://dedicatedbrand.com,SUS
449,deepmello,https://deepmello.com,SUS
450,degree,https://degreeclothing.de,SUS
451,deichmann,https://deichmann.com,NOT
452,delsey,https://delsey.com,SUS
453,denim project,https://thenewdenimproject.com,SUS
454,denise roobol,https://deniseroobol.com,SUS
455,denkefair,https://denkefair.de,SUS
456,dept.,http://artdeptclothing.com,NOT
457,derbe,https://derbeshop.de,NOT
458,derhy,https://derhy.com,NOT
459,des petits hauts,https://despetitshauts.com,NOT
460,designers remix,https://designersremix.com,SUS
461,desigual,https://desigual.com,NOT
462,desires,https://desires.dk,SUS
463,deuce,https://deucebrand.com,SUS
464,deuter,https://deuter.com,SUS
465,devold,https://devold.com,SUS
466,diadora,https://diadora.com,NOT
467,diamond supply co.,https://diamondsupplyco.com,SUS
468,dick moby,https://dick-moby.com,SUS
469,dickies,https://dickies.com,NOT
470,didi,https://didi.nl,NOT
471,didriksons,https://didriksons.com,SUS
472,diesel,https://uk.diesel.com,NOT
473,dilling,https://uk.dilling.com,SUS
474,dillysocks,https://dillysocks.com,SUS
475,dim,https://dim.com,NOT
476,dior,https://dior.com,NOT
477,disana,https://disana.de,SUS
478,djinn's,http://djinns.eu,SUS
479,dockers,https://dockers.com,NOT
480,doers of london,https://doersoflondon.com,SUS
481,dolce&gabbana,https://dolcegabbana.com,NOT
482,domyos,https://domyos.co.uk,SUS
483,doris&dude,https://dorisanddude.com/,SUS
484,dorothy perkins,https://dorothyperkins.com,NOT
485,dos woman,https://doswoman.com,SUS
486,doucal's,https://www.doucals.com,NOT
487,doughnut,https://doughnutofficial.co.uk,SUS
488,dr dennis gross,https://drdennisgross.com/,NOT
489,dr. martens,https://drmartens.com,NOT
490,dr. pawpaw,https://drpawpaw.com,NOT
491,dreimaster,https://dreimastershop.de,SUS
492,dressarte paris,https://dressarteparis.com,SUS
493,dressmann,https://dressmann.com,NOT
494,dries van noten,https://driesvannoten.be,NOT
495,drumohr,https://drumohr.com,NOT
496,drykorn,https://drykorn.com,NOT
497,dsquared2,https://dsquared2.com,NOT
498,dstrezzed,https://dstrezzed.com,SUS
499,duckfeet,https://duckfeet.com,SUS
500,duke,https://dukeclothing.com,NOT
501,dunderdon,https://dunderdon.com,NOT
502,dune london,https://dunelondon.com,NOT
503,dunlop sport,https://dunlopsports.com,NOT
504,dunque,https://dunque.de,SUS
505,duvetica,https://duvetica.com,NOT
506,dvs,https://dvsshoes.com,NOT
507,dw-shop,https://dw-shop.de,NOT
508,dweezilsfriend,https://dweezilsfriend.nl,SUS
509,dynafit,https://dynafit.com,NOT
510,dysfunctional,http://dysfunctionclothing.com/,SUS
511,dzaino,https://dzaino.com,SUS
512,e9,https://e9planet.com,SUS
513,earth creations,https://www.earthcreations.net,SUS
514,eastland,https://eastland.com.au,NOT
515,eastpak,https://eastpak.com,NOT
516,easy peasy,https://easypeasy.fr,SUS
517,ecco,https://gb.ecco.com/en-GB,NOT
518,echte,https://echte.dk,NOT
519,echtlieb,https://echtlieb.de,SUS
