,brand,url,label,website_active
248,boys&girls,https://boysgirlsonline.com,SUS,True
249,braend,http://braend.nl,SUS,True
250,brainshirt,https://brainshirt.eu,SUS,True
251,brako,http://brakoanatomics.com,SUS,True
252,brams paris,https://bramsparis.com,SUS,False
253,brandit,https://brandit-wear.com,SUS,True
254,brandtex,https://brandtex.dk,SUS,True
255,brandy & melville,https://brandymelvilleusa.com,NOT,True
256,brava fabrics,https://bravafabrics.com,SUS,True
257,brave soul,https://bravesoul.co.uk,NOT,True
258,brax,https://brax.com,NOT,False
259,bread & boxers,https://breadandboxers.com/,SUS,True
260,bree,https://bree.com,NOT,True
261,breil,https://breil.com,SUS,True
262,breizuss,https://breizuss.nl,SUS,False
263,brice,https://brice.fr,NOT,True
264,bristol,https://bristol-studio.com,NOT,True
265,british knights,https://britishknights.com,NOT,True
266,brixtol textiles,https://brixtoltextiles.com,NOT,True
267,brixton,https://brixton.com,NOT,True
268,broadway,https://broadwayfashion.ca,NOT,True
269,bronx,https://bronxclothing.co.uk,NOT,True
270,brooklyn soap,https://bklynsoap.com/,SUS,True
271,brooks,https://brooksrunning.com,NOT,True
272,brooks brothers,https://brooksbrothers.com,NOT,True
273,brooks england,https://brooksengland.com,NOT,True
274,brubeck,http://brubeck.co.uk,SUS,True
275,brunello cucinelli,http://brunellocucinelli.com,NOT,True
276,bruno banani,https://brunobanani.com,NOT,True
277,brunotti,https://www.brunotti.com,NOT,True
278,bruuns bazaar,https://bruunsbazaar.com,SUS,True
279,buddha to buddha,https://buddhatobuddha.com,NOT,True
280,bufandy,https://bufandy.com,SUS,True
281,buff,https://buff.com,SUS,True
282,buffalo,http://buffalosystems.co.uk,SUS,True
283,bugatti,https://bugatti-fashion.com,NOT,True
284,bullboxer,https://bullboxer.com,SUS,True
285,bumble and bumble,https://bumbleandbumble.com,NOT,True
286,bundle 'n joy,https://bundlenjoy.com,SUS,True
287,burberry,https://uk.burberry.com,NOT,True
288,burker watches,https://burkerwatches.com,SUS,True
289,burlington,https://burlington.com,NOT,True
290,burt's bees,https://burtsbeesbaby.com,SUS,True
291,burton,https://burton.co.uk,NOT,True
292,by garment makers,https://bygarmentmakers.com/,SUS,True
293,by malina,https://bymalina.com,NOT,True
294,by monkey,https://bymonkey.com/,SUS,True
295,by pia´s,https://bypias.com,NOT,True
296,by signe,https://bysigne.com,SUS,True
297,bydanie,http://bydanie.nl,NOT,True
298,byoni,https://byoni.nl,SUS,False
299,c&a,https://c-and-a.com,SUS,True
300,c.p. company,https://cpcompany.com,NOT,True
301,cabin zero,https://cabinzero.com,SUS,True
302,cakewalk,https://cakewalkstore.com,NOT,True
303,calida,https://calida.com,SUS,True
304,call it spring,https://callitspring.com,NOT,True
305,callaway,https://callawayapparel.com,NOT,True
306,calzedonia,https://calzedonia.com,NOT,False
307,camano,https://camano.de,SUS,True
308,camel active,https://camelactive.de,NOT,True
309,camp david,https://campdavid.com,NOT,True
310,camper,https://camper.com,NOT,True
311,campomaggi,https://campomaggi.com,NOT,True
312,campus,https://campusclothing.com,SUS,False
313,canadian classics,https://canadianclassics.it,NOT,False
314,candice cooper,https://candicecooper.com,SUS,True
315,cano,https://thecanoshoe.com,SUS,True
316,canterbury,https://canterbury.com,NOT,False
317,canussa,https://canussa.com,SUS,True
318,caprice,https://boutiquecaprice.com,SUS,True
319,care label,https://carelabels.co.uk,SUS,True
320,carhartt,https://carhartt.com,NOT,True
321,carhartt wip,https://carhartt-wip.com,NOT,True
322,carla zampatti,https://carlazampatti.com.au,NOT,True
323,carlijnq,https://carlijnq.nl,SUS,True
324,carlo colucci,https://carlocolucci.com,SUS,True
325,carmina campus,https://carminacampus.com,NOT,False
326,carolina cavour,https://carolinacavour.com,SUS,True
327,caroline biss,https://carolinebiss.com,NOT,True
328,carpasus,https://carpasus.com,SUS,True
329,carrera,https://carrerajeans.com,NOT,True
330,carryeco,https://www.carryeco.in,SUS,True
331,cars jeans,https://carsjeans.nl,NOT,True
332,carter's,https://carters.com,NOT,True
333,casa moda,https://casamoda.com,NOT,True
334,casa yustas,https://casayustas.com,SUS,True
335,casall,https://casall.com,SUS,True
336,casio,https://casio.com,SUS,True
337,castelli,https://www.castelli-cycling.com,NOT,True
338,cat footwear,https://catfootwear.nl,NOT,True
339,catimini,https://catimini.com,NOT,False
340,catwalk junkie,https://catwalkjunkie.com,NOT,True
341,cayboo,https://cayboo.nl,SUS,True
342,ceceba,http://ceceba.com,NOT,True
343,cecilie copenhagen,https://ceciliecopenhagen.com,SUS,True
344,celio,https://celio.com,NOT,True
345,cep,https://cepcompression.com,NOT,True
346,cetti,http://cetti.es,SUS,True
347,chaco,https://chacos.com,NOT,True
348,champion,https://championstore.com,NOT,True
349,chanel,https://chanel.com,NOT,True
350,chapati,https://chapati.de,SUS,True
351,charles vögele,http://charles-voegele.nl/,NOT,True
352,charlie + mary,https://charliemary.com,SUS,True
353,charlotte russe,https://charlotterusse.com,NOT,True
354,chasin',https://chasin.com,NOT,True
355,cheaney,https://cheaney.co.uk,NOT,True
356,chi chi london,https://chichiclothing.com,NOT,False
357,chickenorpasta,https://chickenorpasta.nl,SUS,True
358,chie mihara,https://chiemihara.com,NOT,True
359,chiemsee,https://chiemsee.com,SUS,True
360,chillouts,https://chillouts.de,SUS,True
361,chinese laundry,https://chineselaundry.com,NOT,True
362,chloé,https://chloe.com,NOT,False
363,chpo,https://chpobrand.com,SUS,True
364,christophe robin,https://christopherobin.co.uk,NOT,True
365,chureca chic,https://churecachic.com,SUS,True
366,cinque,https://cinque.de,NOT,True
367,circle of trust,https://circleoftrust.nl,NOT,True
368,circlestances,https://circlestances.de,SUS,True
369,citizen,https://moderncitizen.com,NOT,True
370,citizens of humanity,https://citizensofhumanity.com,NOT,True
371,cks,https://cks-fashion.com,NOT,False
372,clae,https://clae.com,NOT,True
373,claesen's,https://claesens.com,SUS,True
374,claire,https://clairewoman.com,NOT,True
375,clarks,https://www.clarks.co.uk,NOT,True
376,cleptomanicx,https://cleptomanicx.com,NOT,True
377,clinique,https://clinique.com,NOT,True
378,closed,https://closed.com,SUS,True
379,closet london,https://closetlondon.com,NOT,True
380,club monaco,https://www.clubmonaco.com,NOT,True
381,cmp,https://cmpsport.com,NOT,True
382,coach,https://coach.com,NOT,True
383,coast,https://www.coastfashion.com,NOT,True
384,cobian,https://cobianusa.com,NOT,True
385,coccara,https://coccara.de,NOT,False
386,coccinelle,https://coccinelle.com,NOT,True
387,codello,https://codello.de,SUS,True
388,cole haan,https://colehaan.com,NOT,True
389,coline,https://www.coline.com,NOT,True
390,collégien,https://en.collegien-shop.com/,SUS,True
391,colmar,https://colmar.it,NOT,False
392,colorful standard,https://colorfulstandard.com,SUS,True
393,columbia,https://columbiasportswear.nl,NOT,True
394,comazo,https://comazo.de,SUS,True
395,combatant gentlema,https://combatgent.com/,NOT,True
396,comma,https://comma-store.eu,NOT,True
397,common texture,https://commontexture.com/,SUS,True
398,comptoir des coton,https://comptoirdescotonniers.eu,NOT,False
399,converse,https://converse.com,NOT,True
400,coolcat,https://coolcat.nl,NOT,True
401,cop copine,https://cop-copine.com,NOT,True
402,coq en pate,https://coqenpate.com,SUS,True
403,cora kemperman,https://corakemperman.shop,SUS,False
404,cordwainer,http://cordwainers.org,NOT,True
405,corneliani,https://www.corneliani.com,NOT,True
406,cortica,https://cortica.co.uk,NOT,True
407,cos,https://cosstores.com,SUS,True
408,cosense,https://cosense.nl,SUS,True
409,cosrx,https://cosrx.com,NOT,True
410,cossac,https://cossac.co.uk,SUS,True
411,costes,https://costesfashion.com,NOT,True
412,cotonea,http://cotonea.com,SUS,True
413,cotton on,https://cottonon.com,NOT,True
414,country line,http://countryline.ca,SUS,True
415,cowboysbag,https://cowboysbag.com,SUS,True
416,craft,https://craftsportswear.com,SUS,False
417,cream,https://cream-clothing.com,NOT,True
418,creamie,https://creamie.eu,SUS,True
419,created by earth,https://createdbyearth.nl/index.php?route=common/home,SUS,True
420,creative recreation,https://creativerecreation.co.uk,NOT,True
421,cri de coeur,https://cridecoeur.myshopify.com/,SUS,True
422,criminal damage,https://criminaldamage.co.uk,SUS,True
423,crocs,https://crocs.com,NOT,True
424,cross sportswear,https://cross-sportswear.com,SUS,True
425,crumpler,https://crumpler.com,NOT,True
426,cruyff classics,https://cruyffclassics.com,NOT,False
427,cubus,https://cubus.com,NOT,True
428,cuc de poma,https://cucdepoma.com,SUS,False
429,culture,https://shopcultureclothing.com,NOT,True
430,curlsmith,https://uk.curlsmith.com,NOT,True
431,curms,https://curms.com,SUS,False
432,cus,https://cus.cat,SUS,True
433,custommade,https://custommade.dk,NOT,True
434,dachstein,https://dachsteinschuhe.com,NOT,True
435,dadamora,https://dadamora.com,SUS,True
436,dailybread,https://dailybreadpa.com,SUS,True
437,dakine,https://dakine.com,NOT,True
438,damir doma,https://damirdoma.com,SUS,True
439,danefae,https://danefae.dk,SUS,True
440,daniel hechter,https://daniel-hechter.de,NOT,True
441,daniel kroh,http://danielkroh.com,SUS,True
442,dante6,https://dante6.com,NOT,True
443,daquïni,https://daquini.com/,SUS,True
444,dare 2b,https://dare2b.com,NOT,True
445,dare to wear,https://daretowearclothing.co.uk,SUS,True
446,dc shoes,https://dcshoes.com,NOT,True
447,de marchi,https://demarchi.com,NOT,True
448,dedicated,https://dedicatedbrand.com,SUS,True
449,deepmello,https://deepmello.com,SUS,True
450,degree,https://degreeclothing.de,SUS,True
451,deichmann,https://deichmann.com,NOT,True
452,delsey,https://delsey.com,SUS,False
453,denim project,https://thenewdenimproject.com,SUS,False
454,denise roobol,https://deniseroobol.com,SUS,True
455,denkefair,https://denkefair.de,SUS,True
456,dept.,http://artdeptclothing.com,NOT,True
457,derbe,https://derbeshop.de,NOT,True
458,derhy,https://derhy.com,NOT,True
459,des petits hauts,https://despetitshauts.com,NOT,True
460,designers remix,https://designersremix.com,SUS,True
461,desigual,https://desigual.com,NOT,False
462,desires,https://desires.dk,SUS,True
463,deuce,https://deucebrand.com,SUS,True
464,deuter,https://deuter.com,SUS,True
465,devold,https://devold.com,SUS,False
466,diadora,https://diadora.com,NOT,True
467,diamond supply co.,https://diamondsupplyco.com,SUS,True
468,dick moby,https://dick-moby.com,SUS,True
469,dickies,https://dickies.com,NOT,True
470,didi,https://didi.nl,NOT,True
471,didriksons,https://didriksons.com,SUS,True
